Country,Score,Rank,Year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Internet Use
Bangladesh,4.693999767303467,109,2015,7.794554233551025,0.5681019425392151,60.458431243896484,0.7035622000694275,-0.02670244686305523,0.7667683959007263,8.3
Ukraine,4.681000232696533,111,2015,9.025622367858887,0.8916270136833191,63.06974411010742,0.5546427369117737,-0.10223336517810822,0.918812096118927,48.88464368
Iraq,4.677000045776367,112,2015,9.597179412841797,0.7306907176971436,60.4849739074707,0.3163076639175415,-0.06861066818237305,0.747490406036377,16.8
South Africa,4.642000198364258,113,2015,9.397891998291016,0.884039044380188,48.72331237792969,0.6313319206237793,-0.14416751265525818,0.8250833749771118,51.91911572
Ghana,4.632999897003174,114,2015,8.248454093933105,0.6722703576087952,53.22010040283203,0.7179990410804749,-0.0030127624049782753,0.8967558145523071,23.0
Zimbabwe,4.610000133514404,115,2015,7.406627178192139,0.8203477263450623,50.814476013183594,0.561648964881897,-0.055083855986595154,0.8378216624259949,22.7428181
Liberia,4.571000099182129,116,2015,6.79408073425293,0.7184421420097351,51.076927185058594,0.5869734287261963,0.01318132970482111,0.867055356502533,10.0
India,4.565000057220459,117,2015,8.553243637084961,0.5474240183830261,57.33843994140625,0.6937527060508728,0.040021516382694244,0.8312958478927612,14.9
Haiti,4.51800012588501,119,2015,7.393551349639893,0.6988813281059265,52.75584411621094,0.5480237007141113,0.29037466645240784,0.6938814520835876,12.1977
Nepal,4.513999938964844,121,2015,7.679401397705078,0.7498080730438232,59.26979446411133,0.6794854998588562,0.11394297331571579,0.8722016215324402,17.58161801
Ethiopia,4.51200008392334,122,2015,7.160531044006348,0.6406264901161194,54.63772201538086,0.7285083532333374,0.01270487904548645,0.727554440498352,13.85517556
Sierra Leone,4.506999969482422,123,2015,7.588256359100342,0.7880471348762512,38.718509674072266,0.7037492990493774,-0.0233178548514843,0.8266425132751465,6.344421603
Mauritania,4.435999870300293,124,2015,7.967893123626709,0.7517292499542236,51.68142318725586,0.5461951494216919,-0.018092965707182884,0.6893603205680847,15.19912669
Kenya,4.419000148773193,125,2015,7.693935394287109,0.806096613407135,53.690895080566406,0.7167963981628418,0.18058255314826965,0.8732760548591614,16.58785485
Djibouti,4.36899995803833,126,2015,7.925537109375,0.6355993747711182,51.83212661743164,0.7534070611000061,-0.06644503027200699,0.5209321975708008,22.9
Armenia,4.349999904632568,127,2015,8.931020736694336,0.7131757140159607,65.0931167602539,0.5045957565307617,-0.19646607339382172,0.9039493203163147,59.10083377
Botswana,4.331999778747559,128,2015,9.621862411499023,0.8504810333251953,40.444305419921875,0.7858566045761108,-0.1633775234222412,0.7682739496231079,37.31205037
Georgia,4.296999931335449,130,2015,8.850348472595215,0.549051821231842,65.07022857666016,0.7012575268745422,-0.22578732669353485,0.35911262035369873,47.56975964
Malawi,4.291999816894531,131,2015,6.624955654144287,0.5598340630531311,46.871185302734375,0.7247501015663147,0.12451260536909103,0.8552657961845398,7.6
Sri Lanka,4.270999908447266,132,2015,9.136509895324707,0.8146023750305176,64.30414581298828,0.8259974122047424,0.2223076969385147,0.820427417755127,12.1
Cameroon,4.251999855041504,133,2015,7.8711137771606445,0.7595242857933044,47.17487716674805,0.7840926051139832,-0.03436984121799469,0.8741165995597839,18.3
Bulgaria,4.2179999351501465,134,2015,9.678918838500977,0.8511115312576294,66.41539001464844,0.6064804792404175,-0.14482811093330383,0.9518718123435974,56.65625161
Angola,4.0329999923706055,137,2015,8.899051666259766,0.7480908036231995,44.74675369262695,0.41482165455818176,-0.13945887982845306,0.8529775738716125,29.0
Mali,3.994999885559082,138,2015,7.37519645690918,0.821398138999939,46.15608596801758,0.6849411129951477,-0.05748360976576805,0.7702133059501648,10.33
Comoros,3.9560000896453857,140,2015,7.308703422546387,0.7197234034538269,51.84083938598633,0.5337129831314087,-0.07472018897533417,0.6507619023323059,7.459161386
Senegal,3.9040000438690186,142,2015,7.694751739501953,0.796631932258606,54.451602935791016,0.6651553511619568,-0.031519196927547455,0.7961406707763672,21.7
Gabon,3.8959999084472656,143,2015,9.826323509216309,0.7669052481651306,54.390907287597656,0.6190739870071411,-0.20959517359733582,0.790168821811676,45.78453653
Niger,3.8450000286102295,144,2015,6.788557052612305,0.7113036513328552,49.45306396484375,0.7687488794326782,-0.0500105544924736,0.7181922197341919,2.476219975
Cambodia,3.819000005722046,145,2015,7.987250804901123,0.6503939628601074,60.801780700683594,0.9447667002677917,0.21635663509368896,0.8509916067123413,18.0
