,Population density (people per sq. km of land area),Country,Year,Score
1476,11.84279148,Turkmenistan,2015,5.548
1477,12.04939246,Turkmenistan,2016,5.658
1478,12.25218011,Turkmenistan,2017,5.822
1479,12.450582,Turkmenistan,2018,5.636
1480,12.64463644,Turkmenistan,2019,5.247
1481,12.83422425,Turkmenistan,2020,5.119100094
1496,205.2991622,Uganda,2017,4.081
1497,213.0911231,Uganda,2018,4.161
1498,220.7739228,Uganda,2019,4.189
1499,228.111909,Uganda,2020,4.43200016
1500,77.94720434,Ukraine,2015,4.681
1501,77.68936629,Ukraine,2016,4.324
1502,77.38846021,Ukraine,2017,4.096
1503,77.0150466,Ukraine,2018,4.103
1504,76.60718502,Ukraine,2019,4.332
1505,76.17309803,Ukraine,2020,4.56069994
1506,130.4265841,United Arab Emirates,2015,6.901
1507,131.8075894,United Arab Emirates,2016,6.573
1508,133.5849901,United Arab Emirates,2017,6.648
1509,135.6092087,United Arab Emirates,2018,6.774
1510,137.5742889,United Arab Emirates,2019,6.825
1511,139.2621797,United Arab Emirates,2020,6.790800095
1512,269.1531393,United Kingdom,2015,6.867
1513,271.2007316,United Kingdom,2016,6.725
1514,273.049473,United Kingdom,2017,6.714
1515,274.7089819,United Kingdom,2018,6.814
1516,276.2630802,United Kingdom,2019,7.054
1517,277.8295085,United Kingdom,2020,7.164500237
1518,35.06332868,United States,2015,7.119
1519,35.31834714,United States,2016,7.104
1520,35.54249482,United States,2017,6.993
1521,35.73009646,United States,2018,6.886
1522,35.89317567,United States,2019,6.892
1523,36.01935005,United States,2020,6.939599991
1530,19.49498914,Uruguay,2015,6.485
1531,19.56427265,Uruguay,2016,6.545
1532,19.63572735,Uruguay,2017,6.454
1533,19.70797623,Uruguay,2018,6.379
1534,19.77905954,Uruguay,2019,6.293
1535,19.84760027,Uruguay,2020,6.440100193
1536,71.03844609,Uzbekistan,2015,6.003
1537,72.28499187,Uzbekistan,2016,5.987
1538,73.51238234,Uzbekistan,2017,5.971
1539,74.80586987,Uzbekistan,2018,6.096
1540,76.22283256,Uzbekistan,2019,6.174
1541,77.70210303,Uzbekistan,2020,6.257599831
1554,298.8908376,Vietnam,2015,5.36
1555,301.9977263,Vietnam,2016,5.061
1556,305.0944722,Vietnam,2017,5.074
1557,308.1431902,Vietnam,2018,5.103
1558,311.0978424,Vietnam,2019,5.175
1559,313.9245428,Vietnam,2020,5.353499889
1584,21.36075277,Zambia,2015,5.129
1585,22.01193048,Zambia,2016,4.795
1586,22.67128694,Zambia,2017,4.514
1587,23.34133362,Zambia,2018,4.377
1588,24.02646525,Zambia,2019,4.107
1590,35.71059067,Zimbabwe,2015,4.61
1591,36.26816079,Zimbabwe,2016,4.193
