,Country,Year,Population density (people per sq. km of land area),Score,Rank,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
179,Brazil,2020,25.43142481,6.375599861,32.0,9.5664,0.8967,66.4802,0.7998,-0.1018,0.7706
192,Bulgaria,2015,66.120035,4.218,134.0,9.6789,0.8511,66.4154,0.6065,-0.1448,0.9519
193,Bulgaria,2016,65.65790346,4.217,129.0,1.1131,0.9254,0.6781,0.2122,0.1279,0.0062
194,Bulgaria,2017,65.18005711,4.714,105.0,1.161,1.434,0.708,0.289,0.113,0.011
195,Bulgaria,2018,64.71109985,4.933,100.0,1.054,1.515,0.712,0.359,0.064,0.009
196,Bulgaria,2019,64.25719418,5.011,97.0,1.092,1.513,0.815,0.311,0.081,0.004
197,Bulgaria,2020,63.81068534,5.101500034,96.0,9.8693,0.9378,66.804,0.7452,-0.1439,0.9356
198,Burkina Faso,2015,66.19377193,3.587,152.0,7.3671,0.7445,48.5199,0.691,-0.02,0.7626
199,Burkina Faso,2016,68.15186404,3.739,145.0,0.32,0.6305,0.213,0.3337,0.2435,0.1253
200,Burkina Faso,2017,70.15071637,4.032,134.0,0.35,1.043,0.216,0.324,0.251,0.12
201,Burkina Faso,2018,72.1910307,4.424,121.0,0.314,1.097,0.254,0.312,0.175,0.128
202,Burkina Faso,2019,74.27406067,4.587,115.0,0.331,1.056,0.38,0.255,0.177,0.113
203,Burkina Faso,2020,76.40086988,4.768700123,112.0,7.4685,0.7129,53.8895,0.6656,-0.0191,0.7398
204,Burundi,2015,395.6399533,2.905,157.0,6.6227,0.5617,46.8113,0.4287,-0.0457,0.8064
205,Burundi,2016,408.4112928,2.905,157.0,0.0683,0.2344,0.1575,0.0432,0.2029,0.0942
206,Burundi,2017,421.6125389,2.905,154.0,0.092,0.63,0.152,0.06,0.204,0.084
207,Burundi,2018,435.17831,2.905,156.0,0.091,0.627,0.145,0.065,0.149,0.076
208,Burundi,2019,449.0100078,3.775,145.0,0.046,0.447,0.38,0.22,0.176,0.18
209,Burundi,2020,463.0366433,3.775300026,140.0,6.4926,0.4903,53.4,0.6264,-0.0176,0.6069
216,Cambodia,2015,87.93017788,3.819,145.0,7.9873,0.6504,60.8018,0.9448,0.2164,0.851
217,Cambodia,2016,89.31730116,3.907,140.0,0.556,0.5375,0.4249,0.5885,0.4034,0.0809
218,Cambodia,2017,90.69461251,4.168,129.0,0.602,1.006,0.43,0.633,0.386,0.068
219,Cambodia,2018,92.05639588,4.433,120.0,0.549,1.088,0.457,0.696,0.256,0.065
220,Cambodia,2019,93.39758668,4.7,109.0,0.574,1.122,0.637,0.609,0.232,0.062
221,Cambodia,2020,94.71431566,4.848400116,106.0,8.2499,0.7731,61.53,0.9597,0.0519,0.8228
222,Cameroon,2015,49.28682702,4.252,133.0,7.8711,0.7595,47.1749,0.7841,-0.0344,0.8741
223,Cameroon,2016,50.61570307,4.513,114.0,0.525,0.6254,0.127,0.4274,0.2268,0.0613
224,Cameroon,2017,51.96858539,4.695,107.0,0.564,0.946,0.133,0.43,0.236,0.051
225,Cameroon,2018,53.34403969,4.975,99.0,0.535,0.891,0.182,0.454,0.183,0.043
226,Cameroon,2019,54.7405111,5.044,96.0,0.549,0.91,0.331,0.381,0.187,0.037
227,Cameroon,2020,56.15676419,5.084899902,98.0,8.1186,0.7004,52.7049,0.7631,-0.0015,0.8513
228,Canada,2015,3.982215114,7.427,5.0,10.642,0.9419,71.4432,0.9168,0.2856,0.4441
229,Canada,2016,4.027563942,7.404,6.0,1.4401,1.0961,0.8276,0.5737,0.4483,0.3133
230,Canada,2017,4.076172901,7.316,7.0,1.479,1.481,0.835,0.611,0.436,0.287
231,Canada,2018,4.13415938,7.328,7.0,1.33,1.532,0.896,0.653,0.321,0.291
232,Canada,2019,4.193074187,7.278,9.0,1.365,1.505,1.039,0.584,0.285,0.308
233,Canada,2020,4.239011376,7.23210001,11.0,10.6924,0.9272,73.6016,0.9339,0.1248,0.3908
246,Central African Republic,2015,7.212384025,3.678,148.0,6.8165,0.3874,41.1392,0.78,0.0065,0.8345
248,Central African Republic,2017,7.377480818,2.693,155.0,0.0,0.0,0.019,0.271,0.281,0.057
249,Central African Republic,2018,7.490409002,3.083,155.0,0.024,0.0,0.01,0.305,0.218,0.038
250,Central African Republic,2019,7.616904234,3.083,155.0,0.026,0.0,0.105,0.225,0.235,0.035
251,Central African Republic,2020,7.752679059,3.475899935,149.0,6.6252,0.3195,45.2,0.6409,0.0824,0.8918
258,Chad,2015,11.20629844,3.667,149.0,7.6241,0.7063,44.1423,0.5393,-0.0627,0.8823
259,Chad,2016,11.56421379,3.763,144.0,0.4221,0.6318,0.0382,0.1281,0.1867,0.0495
260,Chad,2017,11.92563612,3.936,137.0,0.438,0.954,0.041,0.162,0.216,0.054
261,Chad,2018,12.29171458,4.301,131.0,0.358,0.907,0.053,0.189,0.181,0.06
262,Chad,2019,12.66429638,4.35,132.0,0.35,0.766,0.192,0.174,0.198,0.078
