Sum of wat_sm_number_without,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,(blank),Grand Total
Czechia,378457.5672,378187.051,365408.0989,352833.2861,340699.0231,329116.1403,318121.6256,307543.5302,297034.1678,286192.1293,274778.7561,262753.4507,250186.5981,237325.8253,224484.3574,224672.8984,225014.0287,225449.8005,225934.9107,226392.2143,226765.8576,,5957351.317
Democratic Republic of Congo,42394821.18,43415085.28,44529474.61,45727685.1,46989096.56,48297776.46,49653125.5,51060851.65,52518159.48,54021152.81,55566700.71,57150884.76,58770754.34,60422798.56,62103193.58,63808349.83,65535420.16,67280526.44,69036846.32,70797226.21,72555729.33,,1181635659
Denmark,325888.5409,326917.7367,327817.298,328681.5781,307209.2591,285772.1066,264354.7875,242884.3769,221289.2716,199493.7705,180796.0574,181811.2516,182835.0739,183815.8201,184738.4851,185610.0561,186421.9412,187177.5231,187900.031,188621.1277,189363.0493,,4869399.142
Ecuador,5300323.063,5326261.137,5353785.53,5382069.419,5408447.784,5433830.331,5458707.701,5482779.742,5505453.276,5525759.278,5543134.964,5558147.085,5571016.192,5582939.288,5596659.031,5613628.068,5634756.603,5676610.022,5741250.684,5801088.902,5852791.669,,116349439.8
Estonia,89773.34361,86792.35029,83738.38509,80667.22288,77659.12192,74761.87529,71980.04486,64412.80309,62026.83014,59668.11929,57317.57972,54965.2127,52608.69865,50838.47679,51154.25112,51540.77947,54751.57622,55077.59708,55431.57295,55753.67706,56231.10551,,1347150.624
Ethiopia,62929724.73,64504416.18,66259409.07,68037914.38,69833360.83,71642050.79,73460733.54,75289531.56,77093410.53,78935943.87,80825861.37,82766720.16,84749324.49,86763783.51,88782223.59,90787886.82,92773529.36,94739816.27,96683731.57,98605354.04,100504133.8,,1705968860
Finland,337678.1456,315704.9875,293643.564,271512.6248,249324.5961,227077.4562,204753.2981,182324.7443,159762.7401,137038.3449,114129.4643,91026.81109,67717.3334,44187.07199,20437.78193,20246.10155,20238.70217,20220.08658,20182.46622,20128.70032,20061.36937,,2837396.39
Fragile or Extremely Fragile,707465338.6,722227010.9,737172694.6,752274206.5,767567256.8,783108853.6,798647250.1,814452229,830157081.9,846115627.5,862379662.1,885720758.6,901989074.9,917373056.9,932702786.9,947865604.6,963052702.4,978415100.6,993840795.8,1008667974,1024445793,,18175640859
France,2099769.83,2108018.513,2118086.291,2129199.398,2030777.167,1929992.193,1826703.654,1721243.351,1613973.608,1505348.843,1395617.332,1284829.182,1172821.044,1059411.483,945720.9463,833198.1863,719234.7643,604129.544,488190.5722,489234.4037,490317.3552,,28565817.66
French Guiana,,17875.14479,18725.15477,19614.2815,20482.53764,21286.71777,21854.99217,22348.02785,22782.72478,23181.13949,23561.9722,23927.83421,24275.28765,24624.42989,24999.66842,25414.6211,25876.95678,26381.60204,26911.43202,27442.73955,28184.33403,,469751.5986
French Polynesia,19815.9302,20165.67984,20498.88026,20806.06401,21076.77365,21306.07068,21489.42488,21630.21571,21741.11669,21839.2587,21937.48111,24157.61233,26401.48748,28670.47967,30965.63294,33285.67043,35634.56677,38016.8351,40428.1367,42871.40439,45341.29528,,578080.0168
Gambia,1008050.482,1026847.809,1045881.824,1065035.019,1084567.06,1103387.591,1121354.872,1138588.625,1155267.44,1171710.392,1188077.617,1204359.096,1220391.635,1236059.002,1251188.029,1265628.384,1279311.345,1292186.144,1304162.879,1315171.81,1336046.224,,24813273.28
Georgia,1646527.11,1624172.283,1606446.954,1589248.793,1574614.116,1559143.026,1542006.17,1524097.684,1505843.958,1488121.16,1471517.351,1455869.586,1440739.232,1426277.357,1412607.509,1399822.687,1387798.945,1376430.481,1365318.211,1354011.488,1342161.838,,31092775.94
Germany,143446.1172,143541.4753,143684.6299,143824.2738,134666.6044,125387.1097,115995.89,106544.5142,97121.67298,87794.97562,78595.96465,69500.7367,60465.04228,51454.7073,42441.44057,33386.91466,24282.66266,15093.44151,5799.465682,5824.896435,5841.5591,,1634694.095
Ghana,16718762.21,17078540.96,17307315.98,17477342.35,17643291.23,17806119.16,17965805.65,18119803.72,18262549.12,18387283.82,18488650.19,18564824.48,18616348.34,18644237.94,18650169.95,18634968.54,18597944.39,18537633.83,18452913.17,18342606.67,18205498.92,,380502610.6
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Greece,136220.6215,133848.8474,131242.5165,128547.9138,118511.5411,108257.429,97826.46377,87330.19799,76902.8245,66672.53233,56690.2009,46947.33095,37398.63173,28006.22793,19860.30768,12972.5869,6137.996878,0.244154277,-0.242011614,0,-0.239730279,,1293373.933
Greenland,3605.919481,3616.12549,3627.808897,3639.941377,3385.099809,3124.365165,2859.764317,2592.301731,2323.084697,2054.179927,1828.396212,1828.030091,1828.274409,1828.348216,1829.032808,1830.470156,1833.025103,1836.680197,1841.175291,1845.741208,1850.824178,,51008.58876
Grenada,21885.02426,21051.01746,20204.06818,19341.45257,18464.3936,17572.32758,16665.90779,15745.52491,14821.10869,13895.37968,13684.99552,13531.01656,13509.4092,13937.67155,14031.47296,14122.05202,14207.09172,14285.81743,,,,,290955.7317
Guadeloupe,,12903.72281,12777.34103,12615.71051,12468.32585,12371.14514,12148.87142,11977.93041,11834.73,11687.61171,11515.05968,11312.38424,11089.08315,10855.50613,10626.07275,10410.44853,10209.72442,10019.97363,9836.449809,9653.515424,9655.422006,,225969.0287
Guam,1329.15029,1299.949614,1267.851237,1233.587853,1197.698361,1161.194498,1124.048535,1086.482436,1048.752672,1010.968233,973.1614027,935.5107913,898.0120136,900.3974386,903.7203495,908.4576257,914.6150057,922.09708,930.4547174,939.0143949,947.3664654,,21932.49101
Guatemala,6201097.095,6289075.879,6379146.33,6470636.703,6561791.372,6651134.411,6738199.629,6823120.451,6906074.403,6987536.871,7067613.842,7146232.667,7222968.701,7297142.783,7368321.627,7436060.335,7500221.657,7605612.259,7709511.13,7811883.997,7912575.353,,148085957.5
Guinea-Bissau,989970.4349,1007169.71,1025443.261,1044740.009,1064925.903,1085910.23,1107641.599,1130198.114,1153655.365,1178140.935,1203704.143,1230347.607,1257958.01,1286292.868,1315027.145,1343925.069,1372875.089,1401900.342,1430963.433,1460075.836,1489246.602,,25580111.71
High income,52179301.36,52052325.29,45939484.76,45597591.31,45227142.83,46595770.74,46355363.25,46037561.95,45686319.68,45140448.05,43448468.68,41745615.18,40031108.13,38583566.82,37120682.04,35661455.73,34214125.37,32874785.95,31664762.12,30531351.57,29535914.91,,866223145.7
Hong Kong,123916.2694,116777.8112,109140.9952,101196.2178,93148.15246,85110.89137,77091.89548,69042.49707,60928.96098,52714.02834,44381.14611,35932.73812,27379.34503,18725.49029,9967.979465,1148.490422,0,0,0,0,0,,1026602.909
Hungary,798320.3562,795715.5401,791502.1413,787381.43,783206.0644,778594.1477,773550.686,768450.4038,763326.5186,758234.6299,753520.8071,748869.2558,744895.7966,741224.2045,737679.3756,734287.3982,731031.9138,725395.4723,722332.0256,719218.3814,715975.823,,15872712.37
Iceland,29334.87412,27819.71437,26268.78255,24705.28761,23150.3041,21609.10556,20078.07958,18530.18509,16925.89722,15227.68986,13425.84154,11529.07297,9564.923307,7559.240892,5531.517543,3488.874544,1427.012561,0.01334236,0.001919258,0.007628332,0.009520875,,276176.4358
Iran,6352868.67,6278295.792,6204074.51,6129537.005,6053769.132,5976377.499,5897424.107,5822060.727,5749093.692,5677752.123,5608916.662,5542645.981,5479669.346,5419837.955,5362491.748,5307726.89,5255501.068,5205361.564,5156001.209,5105685.437,5053130.61,,118638221.7
Iraq,11692180.62,11930359.09,12168398.63,12394373.59,12593107.67,12756874.21,12876444.07,12962077.92,13048818.4,13182790.89,13388010.51,13678767.07,14040564.23,14436406.35,14815519.48,15143098.03,15408341.56,15623764.51,15805215,15976823.01,16223964.15,,290145899
Ireland,246427.0555,241840.5013,237400.5817,233054.0634,228735.3073,224353.4504,219939.7699,215354.3531,210227.813,204138.2445,196889.8636,188442.2229,179073.435,169273.0081,159591.2104,150321.263,141481.953,132859.4649,128472.2727,130288.4287,131887.0812,,3970051.343
Isle of Man,,,,,,,,,,2356.228709,2369.548764,2370.470188,2360.55695,2345.226594,2331.348146,2324.199604,2325.986633,2334.754962,2347.683865,2362.092798,2374.463307,,28202.56052
Israel,8370.279797,8532.836911,8687.386281,8842.653464,9010.022095,9199.156419,9413.646632,9649.793789,12813.17853,16109.32416,19509.95611,22989.95318,26539.983,30162.02457,33878.89368,37714.67656,41682.61312,45779.16481,50000.8823,54333.80102,58765.01961,,521985.246
Italy,2965919.627,2851089.391,2741365.428,2633656.149,2524292.556,2411077.395,2293548.362,2298609.928,2322971.674,2347821.237,2374241.819,2402593.506,2432198.339,2461869.331,2489892.358,2529946.803,2533479.049,2533922.945,2531984.876,2528760.958,2525074.711,,52734316.44
Japan,2737375.736,2741446.642,2745294.508,2748842.529,2751972.473,2693739.223,2634862.193,2575377.219,2515293.118,2454622.512,2393380.022,2331586.791,2269260.206,2206412.047,2143054.16,2079209.389,2014924.808,1950250.863,1885222.878,1819878.563,1814372.231,,49506378.11
Jordan,2368856.972,2413206.344,2460050.224,2514469.507,2582651.752,2672167.295,2651578.544,2636989.905,2625836.772,2615003.771,2600748.985,2581545.178,2552973.258,2506319.213,2432960.168,2327424.737,2193042.767,2034508.139,1856230.597,1663070.726,1458996.694,,49748631.55
Kazakhstan,5506173.921,5461632.705,5252188.15,5058071.531,4866375.433,4668747.774,4462954.343,4250979.581,4034381.081,3815445.128,3594787.767,3370978.268,3141274.592,2910190.203,2683859.041,2445768.397,2195801.628,1934486.823,1958399.849,1981058.372,2002601.948,,75596156.53
Kiribati,75971.95592,77093.59893,78280.42418,79523.6707,80874.97194,82366.88033,83979.47694,85688.97643,87418.96779,89081.03464,90582.91937,91898.51832,93043.19634,94092.93428,95107.07724,96144.80837,97227.00965,98319.42007,99458.55477,100654.2344,101901.9988,,1878710.629
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyrgyzstan,2655381.657,2678167.22,2679205.145,2676591.502,2675627.85,2608578.525,2545209.701,2484048.312,2424264.94,2364579.441,2303323.219,2240056.55,2175218.458,2124161.524,2068978.074,2008787.599,1943822.606,1955079.459,1964627.079,1972085.691,1951403.101,,48499197.65
Landlocked Developing Countries,242189390.4,246613714.6,250678542.1,254829663.5,258983191.5,263460447,267736737,271875992.5,275988800.6,280070663.7,284246948.5,297386085.6,302120498.4,306989262,311853635.7,316756851.4,321843350,327002359.9,332558558.4,338098596.4,344120841.1,,6095404130
